,Name,FM radio,Microphone,Line-in recording,DVR recording,Playback while charging,USB host,HDMI out
0,Archos 105,No,No,No,No,Unknown,,
1,Archos 405,No,No,No,Yes,Unknown,,
2,Archos 5,With FM remote,With FM remote,With dock,With DVR dock,With dock,,
3,Archos 605 WiFi / GPS,No,No,No,Yes,Yes,,
4,Archos 705 WiFi,No,No,No,Yes,Unknown,,
5,Cowon A3,Yes,Yes,Yes,No,Unknown,Yes,
6,Cowon D2,Yes,Yes,Yes,No,Yes,,
7,Cowon Q5W,Yes,Yes,No,No,Unknown,,
8,Gigabeat T-Series,No,No,Yes,No,Unknown,,
9,GP2X F-200,No,No,No,No,Unknown,,
10,iPod,Nano generations 5 & 6 only,Yes,No,No,Yes,,iPod Touch only
11,iriver clix 2G,Yes,Yes,No[98],No,Unknown,,
12,PSP 1000 Series,No,No,No,No,Yes,,
13,PSP Slim & Lite 2000 Series,No,Accessory only,No,No,Yes,,
14,PSP Slim & Lite 3000 Series,No,Yes,No,No,Yes,,
15,Samsung Galaxy Player,Yes,Yes,No,No,Yes,No,Korean version only
16,Samsung T10,Yes,Yes,No,No,Power only; no data[99],,
17,Samsung P2,Yes,Yes,No,No,Power only; no data[99],,
18,Sansa Fuze,Yes,Yes,No,No,Power only; no data[99],,
19,Sansa Fuze+,with pause and record,Yes,No,No,Power only; no data[99],,
20,Sansa View,Yes,Yes,No,No,Power only; no data[99],,
21,Walkman NWZ-A810 series,No,No,No,No,Yes,,
22,ZEN,Yes,Yes,No,No,Yes,,
23,ZEN Vision W,Yes,Yes,No,No,Power only; no data[99],,
24,Zune,Yes (also on HD Radio),No,No,No,Yes,,"Yes, Zune HD"
25,Zvue 260,No,No,No,No,No,,
