,Languages,Size,First,Last
0,Ada,".mw-parser-output .monospaced{font-family:monospace,monospace}name'Length",name'First,name'Last
1,ALGOL 68,UPB name - LWB name+1 2 UPB name - 2 LWB name+1 etc.,LWB name 2 LWB name etc.,UPB name 2 UPB name etc.
2,APL,⍴ name (⍴ name)[index],⎕IO,(⍴ name)-~⎕IO (⍴ name)[index]-~⎕IO
3,AWK,length,1,asorti
4,"C#, Visual Basic .NET, Windows PowerShell, F#",name.Length,name.GetLowerBound(dimension),name.GetUpperBound(dimension)
5,CFML,arrayLen(name) name.len(),1,name.len()
6,Ch,max(shape(name)),0,max(shape(name))-1
7,Cobra,name.length,0,name.length-1
8,Common Lisp,(length name),0,(1- (length name))
9,D,name.length,0,name.length-1 $-1
10,Fortran,SIZE(name),LBOUND(name),UBOUND(name)
11,Go,len(name),0,len(name) - 1
12,Haskell,rangeSize (bounds name),fst (bounds name),snd (bounds name)
13,Haxe,name.length,0,name.length - 1
14,ISLISP,(length name),0,(1- (length name))
15,"Java, JavaScript, D, Scala",name.length,0,name.length - 1
16,J,#name,0,<:@#name
17,Julia,length(name)size(name),1first.(axes(name)),endlast.(axes(name))
18,Lingo,count(name),1,getLast(name)
19,LiveCode,length(name),1 first,-1 last
20,Lua,#name,1 by convention; any integer[2],#name
21,Mathematica,Length[name],1 First[name],-1 Last[name]
22,"MATLAB, GNU Octave",length(name),1,end
23,Nim,name.len,name.low[3],name.high
24,Oberon,LEN(name),0,LEN(name) - 1
25,Object Pascal,Length(name),0low(name),Length(name)-1high(name)
26,Objective-C (NSArray * only),[name count],0,[name count] - 1
27,OCaml,Array.length name,0,Array.length name - 1
28,Perl,scalar(@name),$[,$#name
29,PHP,count($name),0,count($name) - 1
30,Python,len(name),0,-1 len(name) - 1
31,R,length(name),1,length(name)
32,Raku,@name.elems,0,@name.end
33,Ruby,name.size,0 name.first,-1 name.size - 1 name.last
34,Rust,name.len(),0,name.len() - 1
35,S-Lang,length(name),0,-1 length(name)-1
36,Scheme,(vector-length vector),0,(- (vector-length vector) 1)
37,Smalltalk,name size,1 name first,name size name last
38,Swift,name.count,0,name.count - 1
39,Visual Basic,UBound(name)-LBound(name)+1,LBound(name),UBound(name)
40,Wolfram Language,Length[name],1 First[name],-1 Last[name]
41,Xojo,UBound(name),0,UBound(name)
42,XPath/XQuery,count($name),1,count($name) last()array:size(name)[4]
