,Unnamed: 0,fixed size array,fixed size array.1,dynamic size array,dynamic size array.1,Unnamed: 5
0,,one-dimensional array,multi-dimensional array,one-dimensional array,multi-dimensional array,
1,Ada[1],array (<first> .. <last>) of <type>orarray (<discrete_type>) of <type>,"array (<first1> .. <last1>, <first2> .. <last2>, ...) of <type>orarray (<discrete_type1>, <discrete_type2>, ...) of <type>",array (<discrete_type> range <>) of <type>,"array (<discrete_type1> range <>, <discrete_type2> range <>, ...) of <type>",
2,ALGOL 68,[first:last]«modename»or simply:[size]«modename»,"[first1:last1, first2:last2]«modename»or[first1:last1][first2:last2]«modename»etc.",flex[first:last]«modename»or simply:flex[size]«modename»,"flex[first1:last1, first2:last2]«modename»orflex[first1:last1]flex[first2:last2]«modename» etc.",
3,C (C99),type name[size][a],type name[size1][size2][a],type *nameor within a block:int n = ...; type name[n],,
4,C++ (STL),"«std::»array<type, size>(C++11)",,«std::»vector<type>,«std::»vector<type>,
5,C#,type[],"type[,,...]",System.Collections.ArrayListorSystem.Collections.Generic.List<type>,,
6,Java,type[][b],type[][]...[b],ArrayList or ArrayList<type>,,
7,D,type[size],type[size1][size2],type[],,
8,Go,[size]type,[size1][size2]...type,[]type,[][]type,
9,Rust,[type; size],[[type; size1]; size2],[type],,
10,Swift,,,[type] or Array<type>,[[type]] or Array<Array<type>>,
11,Objective-C,NSArray,,NSMutableArray,,
12,JavaScript,,,Array[d],Array[d],
13,Common Lisp,,,,,
14,Scheme,,,,,
15,ISLISP,,,,,
16,Pascal,array[first..last] of type[c],"array[first1..last1] of array[first2..last2] ... of type [c] or  array[first1..last1, first2..last2, ...] of type [c]",,,
17,Object Pascal (Delphi),array[first..last] of type[c],"array[first1..last1] of array[first2..last2] ... of type [c] or  array[first1..last1, first2..last2, ...] of type [c]",array of type,array of array ... of type,
18,Visual Basic,,,,,
19,Visual Basic .NET,type(),"type(,,...)",System.Collections.ArrayListorSystem.Collections.Generic.List(Of type),,
20,Python,,,list,,
21,S-Lang,,,,,
22,Fortran,type :: name(size),"type :: name(size1, size2,...)","type, ALLOCATABLE :: name(:)","type, ALLOCATABLE :: name(:,:,...)",
23,PHP,,,array,,
24,Perl,,,,,
25,Raku,,,Array[type] or Array of type,,
26,Ruby,,,Array,,
27,Scala,Array[type],Array[...[Array[type]]...],ArrayBuffer[type],,
28,Seed7,array typeorarray [idxType] type,array array typeorarray [idxType] array [idxType] type,array typeorarray [idxType] type,array array typeorarray [idxType] array [idxType] type,
29,Smalltalk,Array,,OrderedCollection,,
30,Windows PowerShell,type[],"type[,,...]",,,
31,OCaml,type array,type array ... array,,,
32,F#,type [] or type array,"type [,,...]",System.Collections.ArrayListorSystem.Collections.Generic.List<type>,,
33,Standard ML,type vector or type array,,,,
34,Haskell (GHC),,,,,
35,COBOL,level-number type OCCURS size «TIMES».,one-dimensional array definition...,level-number type OCCURS min-size TO max-size «TIMES» DEPENDING «ON» size.[e],,
