,Unnamed: 0,downcast,upcast,Unnamed: 3,Unnamed: 4
0,ABAP Objects,,,,
1,C++ (STL),,operator returntype() { instructions },,
2,C#,static explicit operator returntype(type operand) { instructions },static implicit operator returntype(type operand) { instructions },,
3,D,,T opCast(T)() if (is(T == type)) { instructions },,
4,eC,,property T { get { return «conversion code»; } },,
5,Java,,,,
6,Objective-C,,,,
7,Eiffel[35],,,,
8,Python,,,,
9,Visual Basic .NET,Shared Narrowing Operator CType(operand As type) As returntype instructions End Operator,Shared Widening Operator CType(operand As type) As returntype instructions End Operator,,
10,PHP,,,,
11,Perl,,,,
12,Raku,,,,multi method type«($self:)» is export { instructions }
13,Ruby,,,,
14,Windows PowerShell,,,,
15,OCaml,,,,
16,F#,,,,
17,COBOL,,,,
