,Unnamed: 0,class,protocol,namespace
0,ABAP Objects,class name definition «inheriting from parentclass». «interfaces: interfaces.» method_and_field_declarations endclass.class name implementation. method_implementations endclass.,interface name. members endinterface.,
1,C++ (STL),class name« : public parentclasses[5]» { members };,,namespace name { members }
2,C#,"class name« : «parentclass»«, interfaces»» { members }",interface name« : parentinterfaces» { members },namespace name { members }
3,D,"class name« : «parentclass»«, interfaces»» { members }",interface name« : parentinterfaces» { members },module name; members
4,eC,class name« : base class» { «default member values assignments» «members» },,namespace name;
5,Java,class name« extends parentclass»« implements interfaces» { members },interface name« extends parentinterfaces» { members },package name; members
6,PHP,class name« extends parentclass»« implements interfaces» { members },interface name« extends parentinterfaces» { members },namespace name; members
7,Objective-C,@interface name« : parentclass»[6]«< protocols >» { instance_fields } method_and_property_declarations @end @implementation name method_implementations @end[7],@protocol name«< parentprotocols >» members @end,[8]
8,Swift,"class name« : «parentclass»«, protocols»» { members }",protocol name« : parentprotocols» { members },
9,Python,class name«(parentclasses[5])»:Tab ↹ members,[9],"__all__ = [ member1,member2,... ]"
10,Visual Basic .NET,Class name« Inherits parentclass»« Implements interfaces»members End Class,Interface name« Inherits parentinterfaces»members End Interface,Namespace namemembers End Namespace
11,Xojo,Class name« Inherits parentclass»« Implements interfaces»members End Class,Interface name« Inherits parentinterfaces»members End Interface,Module namemembers End Module
12,Eiffel,class name« inherit parentclasses[5]»membersend,,
13,Perl,package name; «@ISA = qw(parentclasses[5]);» members 1;,,package name; members
14,Raku,class name «is parentclass «is parentclass ...[5]»» «does role «does role ...»» { members },role name «does role «does role ...»» { members },module name { members }
15,Ruby,class name« < parentclass» members end,,module name members end
16,Windows PowerShell,,,
17,OCaml,class name «parameters» = object «(self)» «inherit parentclass «parameters» «inherit parentclass «parameters» ...[5]»» members end,,module name members
18,F#,type name«(parameters)» «as this» = class «inherit parentclass«(parameters)» «as base»» members «interface interface with implementation «interface interface with implementation ...»» end,type name = interface members end,namespace name members
19,Smalltalk,[10],,[11]
20,JavaScript (ES6),class name «extends parentclass» { members },,
21,Object Pascal (Delphi),"ClassName = Class «(ClassParent, Interfaces)» private // Private members(include Methods and Fields) public // Public members protected // Protected members published // Published members end;",,package name; members
22,Scala,class ConcreteClass(constructor params) extends ParentClass with Trait1 with Trait2 with Trait2 { // members },trait TraitName extends OtherTrait1 with OtherTrait2 with OtherTrait3 { // members },package name
23,COBOL,CLASS-ID. name« INHERITS« FROM» parentclasses». FACTORY« IMPLEMENTS interfaces». class-members END FACTORY. OBJECT« IMPLEMENTS interfaces». instance-members END OBJECT. END CLASS name.,INTERFACE-ID. name« INHERITS« FROM» interfaces». members END INTERFACE name.,
24,Cobra,class name «inherits parentclass» «implements interfaces»Tab ↹ members,interface name «inherits parentinterfaces»Tab ↹ members,namespace nameTab ↹ members
25,ISLISP,(defclass name (base-class) ((x :initform 0 :accessor get-x :initarg x)) (:abstractp nil)),,
