,Format,Returns,Languages,Unnamed: 3
0,string'Length,,Ada,
1,UPB string,,ALGOL 68,
2,length(string),,"Ingres, Perl 5, Pascal, Object Pascal (Delphi), Rexx, Seed7, SQL, PL/I",
3,len(string),,"BASIC, FreeBASIC, Python, Go, Pick Basic",
4,"length(string), string:len(string)",,Erlang,
5,Len(string),,"VB, Pick Basic",
6,string.Length,Number of 16-bit UTF-16-encoded blocks,"VB .NET, C#, Windows PowerShell, F#",
7,chars(string) string.chars,Number of graphemes (NFG),Raku,
8,codes(string) string.codes,Number of Unicode code points,Raku,
9,string.size OR string.length,Number of bytes[18],Ruby,
10,strlen(string),Number of bytes,"C, PHP",
11,string.length(),,C++ (STL),
12,string.length,,"Cobra, D, JavaScript",
13,string.length(),Number of 16-bit UTF-16-encoded blocks,Java,
14,(string-length string),,Scheme,
15,(length string),,"Common Lisp, ISLISP",
16,(count string),,Clojure,
17,String.length string,,OCaml,
18,size string,,Standard ML,
19,length string,Number of Unicode codepoints,Haskell,
20,string.length,Number of 16-bit UTF-16-encoded blocks,Objective-C (NSString * only),
21,string.characters.count,Number of characters,Swift (2.x),
22,count(string),Number of characters,Swift (1.2),
23,countElements(string),Number of characters,Swift (1.0–1.1),
24,string.len(string) (string):len() #string,,Lua,
25,string size,,Smalltalk,
26,"LEN(string), or LEN_TRIM(string)",,Fortran,
27,StringLength[string],,Mathematica,
28,Length(string) or Size(string),number of bytes as $int+,Ya,
29,«FUNCTION» LENGTH(string) or «FUNCTION» BYTE-LENGTH(string),"number of characters and number of bytes, respectively",COBOL,
30,string length string,a decimal string giving the number of characters,Tcl,
31,≢ string,,APL,
