,Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
0,2-plan,Yes[1],Yes,Yes,"Proprietary, Open source[2]",Java and PHP
1,24SevenOffice,Yes,No,Yes,Proprietary,
2,Actionspace,Yes,No,Yes,Proprietary,
3,Apache Allura,Yes,Yes,,Apache License,Python
4,Apache OFBiz,Yes,Yes,Yes,Apache License,"Java, XML, FreeMarker, Groovy, JavaScript"
5,Apache Bloodhound,Yes,Yes,Yes,Apache License,Python
6,Asana,Yes,No,Yes,Proprietary,
7,Assembla,Yes,Yes,Yes,Proprietary,
8,Axosoft,Yes,Yes,Yes,Proprietary,
9,Basecamp,Yes[3],No[4],Yes,Proprietary,Ruby
10,Calligra Plan,No,File-based,No,GPL,C++ and Java
11,CEITON,Yes,Yes,Yes,Proprietary,"ASP.NET, JavaScript"
12,Clarizen,Yes[5],No,Yes[5],Proprietary,
13,Collabtive,Yes,Yes,Yes,Open source (core only),PHP
14,Compuware Changepoint,Yes,Yes,Yes,Proprietary,
15,ConceptDraw Project,No,Yes,No,Proprietary,
16,ConceptDraw PLAN,Yes,No,Yes,Proprietary,PHP and Java
17,Concerto Project Management,Yes,Yes,Yes,Proprietary,
18,Copper Project,Yes,Yes,Yes,Proprietary,
19,dotProject,Yes,Yes,Yes,GPL,PHP
20,DynaRoad,No,Unknown,Unknown,Proprietary,
21,Easy projects,Yes[6],Yes[6],Yes[6],Proprietary,ASP.NET
22,Eclipse PPM software,Yes,No,Yes,Proprietary,
23,Endeavour Software Project Management,Yes,Unknown,Unknown,GPL,Java
24,eGroupWare,Yes,Unknown,Unknown,GPL,PHP
25,enQuire,Yes,Unknown,Yes,Proprietary,Java
26,FastTrack Schedule,No,Yes,No,Proprietary,
27,Feng Office Community Edition,Yes,Yes,Yes,AGPLv3,PHP
28,FinancialForce.com,Yes,Unknown,Yes,Proprietary,
29,FogBugz,Yes,Yes,Yes,Proprietary,ASP.NET
30,Fossil-scm,Yes[7],Yes[8],Yes[9],2-clause BSD license,SQLite and C
31,Freedcamp,Yes,No,Yes,Proprietary,
32,FusionForge,Yes,Yes,Unknown,GPL,PHP
33,GanttProject,No,Yes,Unknown,GPL,Java
34,Genius Project,Yes,Yes,Yes,Proprietary,
35,Group-Office,Yes,Yes,Yes,Proprietary,
36,GroveSite,Yes,Unknown,Yes,Unknown,
37,Hall.com,Yes,Unknown,Yes,Unknown,
38,Helix ALM,Yes,Yes,Yes,Proprietary,C++
39,HeySpace,Yes,No,Yes,Proprietary,JavaScript
40,HP Project & Portfolio Software,Yes,Yes,Proprietary,,
41,Huddle,Yes,Unknown,Unknown,Proprietary,
42,Hyperoffice,Yes,Unknown,Unknown,Proprietary,
43,iManageProject,Yes,Unknown,Yes,Unknown,
