,Unnamed: 0,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
0,Ability Photopaint,Graphics editor with some advanced features,Ability Software,March 2001,4,,,Proprietary
1,ACDSee,,,,19,,$59,Proprietary
2,ACDSee Pro,,,,9,,$99,Proprietary
3,ACDSee Ultimate,,,,9,,$149,Proprietary
4,Acorn Image Editor,Image editor and graphics creator for macOS,Flying Meat Inc.,"September 10, 2007",5.6.2,"January 24, 2017",,Proprietary
5,Adobe Fireworks*,"Alternative to Photoshop targeted at web designers, discontinued after CS6",Macromedia,1998,CS6 / 12.0,"May 7, 2012",Discontinued,Proprietary
6,Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems,"February 19, 1990",CC 2019 / 20.0.4.260,"March 6, 2019",$9.99/month,Proprietary
7,Adobe Photoshop Elements,"Raster graphics editor for entry-level photographers, image editors and hobbyists",,,14.0,"September 24, 2015",$99,Proprietary
8,Adobe Photoshop Lightroom,Photo editor,Adobe Systems,"February 19, 2007",8.2,"February 7, 2019",$9.99/month,Proprietary
9,Affinity Photo,"Professional image editor for Windows, macOS and iOS",Serif Europe,"July 9, 2015",1.6.7,"March 1, 2018",$49.99,Proprietary
10,Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets & tablet computers,Autodesk,2004,2016 (4.1),,,Proprietary
11,Artipic,Image editor for Windows and macOS,Artipic AB,2014,2.6,"October 30, 2017",,Proprietary
12,ArtRage,Digital paint program for tablet computers,Ambient Design,2004,4.5.1,,,Proprietary
13,Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,2002,3.0,,,Freeware
14,Bibble*,Photo editor and organizer with camera raw file support,Bibble Labs,2000,5.2,,,Proprietary
15,Bloom Image Editor,Procedural node-based image editor,Sad Cat Software,2015,1.0.181,,,Proprietary
16,Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,2004,2.0,,,Freeware
17,Capture One,Professional raw converter and image editor,Phase One,2002,12,,,Proprietary
18,Chasys Draw IES,"Image Editor with layers, animation, icon edit, super-res, batch and camera raw",John Paul Chacha,2001,4.56.01,"November 12, 2018",,Freeware
19,CinePaint,"Moving picture, photo and graphics editor",Robin Rowe,"July 4, 2002",2011 (1.0),,,GPL
20,CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp.,2001,6.2,,,Proprietary
21,Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,1992,X7,,,Proprietary
22,Corel Painter,Made to create natural-looking artistic images,"Mark Zimmer, Tom Hedges, John Derry",August 1991,15.1.0.740,"January 12, 2016",,Proprietary
23,Corel PHOTO-PAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,1992,X7/17,,,Proprietary
24,darktable,Photography workflow application and raw developer,Johannes Hanika,April 2009,2.0,,,GPL 3
25,Deluxe Paint*,Discontinued basic editor,Dan Silva,1985,5,,,Proprietary
26,Deneba Canvas,Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.,"Jorge Miranda, Joaquin de Soto, Manny Menendez",September 1987,14,,,Proprietary
27,DigiKam,Free photo organizer and image editor,"Renchi Raju, Gilles Caulier",2002,4.10.0,,,GPL
28,Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc.,,4.2.10,,,Proprietary
29,Erdas Imagine,Advanced remote sensing and GIS ability;handles multispectral images,"ERDAS, Inc.",1980,2016 (16),"June 14, 2016",,Proprietary
30,Fatpaint,Full featured web-based graphic design and photo editing application,Mersica Inc.,2010,1.99.55,,,Freeware
31,Fotografix,"Freeware, portable image editor",L. Madhavan,"April 14, 2009",1.5,,,Freeware
32,F-Spot,Image viewer and organizer for GNOME,Ettore Perazzoli,2005,0.8.2,,,GPLv2
33,G'MIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,October 2008,1.7.9,,,CeCILL
34,GIMP,Free image editor and graphics creator,"Spencer Kimball, Peter Mattis",January 1996,2.10.12,"November 8, 2018",,GNU (L)GPLv3+ v2.7+[3]
35,GimPhoto,"Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop.",Ek Kian,,1.4.3,,,GPLv2
36,GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,,2.2.11,,,GPL
37,GNU Paint,Free and open-source raster graphics editor,Andy Tai,"September 10, 2007",0.3.3,,,GPL
38,GrafX2,GrafX2 with a GUI similar to Deluxe Paint,"Sunset Design (Guillaume Dorme, Karl Maritaud)",1996,2.5,"May 19, 2018",,GPL
39,GraphicConverter,"Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins",Thorsten Lemke,1992,10,,,Proprietary
40,GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,2002,1.3.21,,,MIT
41,gThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,2001,3.4.0,,,GPL3
42,HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,October 2009,2.15.37,,,Proprietary
43,Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd.,August 2004,5.0.28,,,Proprietary
44,ImageJ,Image processing program developed at the National Institutes of Health.,Wayne Rasband (NIH),1997,1.46m,,,Public Domain
45,ImageMagick,"Command line software suite for displaying, converting, and editing raster image files",ImageMagick Studio LLC,1990,6.7.7-7,,,Apache 2.0
46,iPhoto*,Image organizer and basic editor for macOS; replaced by Photos,Apple Inc.,2002,9.6,,,Proprietary
47,IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,1996,4.44[4],"December 20, 2016",,Freeware
48,Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,2004,3.0.3,,,Proprietary
49,Kolourpaint,,KDE,2004,1.2.2,,,BSD
