,Unnamed: 0,Selection editing,Layers,Alpha Channel,Histogram,Scripting,HDR,Retouching,Resizing,Noise removal,Lens correction,Sized Printing,Sharpening,Color correction,Image library,Plug-in support[17],Non-destructive editing
0,Ability Photopaint,Yes,Yes,?,Yes,Yes,No,?,Yes,?,?,?,?,?,?,?,?
1,ACD Canvas,Yes,Yes,?,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Yes,?,Yes,No,?
2,ACDSee (Win),Yes,Yes,?,Yes,No,No,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,Partial
3,Acorn Image Editor,Yes,Yes,?,Yes,Yes,No,Yes,Yes,Yes,No,?,Yes,Yes,No,Yes,Yes
4,Adobe Fireworks*,Yes,Yes,?,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,?
5,Adobe Photoshop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (Through Mini Bridge),Yes,Partial
6,Adobe Photoshop Lightroom,Yes,No,?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Affinity Photo,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
8,Aperture,Yes,Partial,?,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Autodesk SketchBook Pro,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes
10,Artipic,Yes,Yes,?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
11,ArtRage,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,?,?,?
12,Artweaver,Yes,Yes,?,No,Via plug-in[18],No,Yes,Yes,Yes,?,?,Yes,Yes,No,Yes,?
13,Bibble*,Partial,Partial,?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
14,Bloom Image Editor,Yes,Yes,?,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
15,Brush Strokes Image Editor,Yes,No,?,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
16,Capture One,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,Chasys Draw IES,Yes,Yes,?,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
18,CinePaint,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,?
19,CodedColor PhotoStudio Pro,Yes,Yes,?,Yes,No,?,?,?,?,?,?,?,?,?,?,?
20,Corel PaintShop Pro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
21,Corel Painter,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,?,?,Yes,Yes,?,Yes,?
22,Corel Photo-Paint,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
23,darktable,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
24,Deluxe Paint*,No,Partial[19],?,Partial,Yes,No,Yes,Yes,No,No,?,No,No,?,No,?
25,DigiKam,No,No,?,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
26,Erdas Imagine,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?
27,Fatpaint,Yes,Yes,?,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,?
28,Fotografix,Yes,Yes,?,No,Partial,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,?
29,GIMP,Yes,Yes,Yes,Yes,Yes,Via plug-in[20],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
30,GIMPshop,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,?
