,Unnamed: 0,TGA,RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
0,Ability Photopaint,?,?,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,?,,
1,ACD Canvas,?,?,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,?,,
2,ACDSee (Win),?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?,?,?,
3,Acorn Image Editor,?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?,?,,
4,Adobe Fireworks*,?,?,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,,,
5,Adobe Photoshop,?,Yes,Yes,Yes,Yes,Via plug-in[31],Yes,Yes,Yes,Yes,No,No,Yes,,
6,Adobe Photoshop Lightroom,?,Yes,No,Via plug-in[32],Yes,Via plug-in[33],No,Via plug-in[32],Yes,Partial[34],?,?,?,,
7,Affinity Photo,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes
8,Autodesk SketchBook Pro,?,?,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,,
9,Artipic,?,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Partial,No,No,Yes,,
10,ArtRage,?,?,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,?,,
11,Artweaver,?,No,Yes,Yes,Yes,Partial,,Yes,Yes,Partial,No,No,Yes,,
12,Bibble*,?,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,,
13,Brush Strokes Image Editor,?,?,Yes,Yes,Yes,No,,Yes,Yes,No,No,No,?,,
14,Capture One,?,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,?,?,?,,
15,Chasys Draw IES,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
16,CinePaint,?,Yes,Yes,Yes,Yes,No,,Yes,Yes,Partial,No,Yes,?,,
17,CodedColor PhotoStudio Pro,?,?,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,,
18,Corel PaintShop Pro,?,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Partial[35],Yes,No,Yes,,
19,Corel Painter,?,?,Yes,Yes,Yes,No,,No,Yes[36],Yes,Yes,No,Import,,
20,Corel Photo-Paint,?,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,,
21,darktable,?,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,,
22,Deluxe Paint*[37],No,No,No,No,No,No,,No,No,No,No,No,No,,
23,DigiKam,?,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,Yes,?,,
24,Erdas Imagine,?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Import,,
25,Fatpaint,?,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,
26,Fotografix,?,Partial,Yes,Yes,Yes,No,No,Yes,Yes,Import only,No,Import only,Import only,,
