,Software,APA,Chicago/Turabian,Harvard,MLA,Other,Extension method
0,Bebop,No,No,No,No,none,none
1,BibBase,Yes,No,No,No,none,none
2,BibDesk,Yes,yes,No,No,various,BibDesk export templates
3,Biblioscape,Yes,Yes,Yes,Yes,2000+ styles[citation needed],Biblioscape format (through GUI)
4,BibSonomy,Yes,No,Yes,No,none,none
5,Bibus,Yes,No,No,No,"56 styles, user-contributed",bibus format (through GUI)
6,Bookends,Yes,Yes,Yes,Yes,various[citation needed],?
7,Citavi,Yes,Yes,Yes,Yes,10600+ styles. Styles can be requested and are centrally corrected; any BibTeX style when used with LaTeX.,"Citavi format (through GUI), includes conditions and programmable components; BibTeX"
8,CiteULike,Yes,Yes,Yes,Yes,various[citation needed],none
9,colwiz,Yes,Yes,Yes,Yes,9464 styles,CSL
10,EndNote,Yes,Yes,Yes,Yes,6926 styles,EndNote format (through GUI)
11,F1000Workspace,Yes,Yes,Yes,Yes,9464 styles,CSL
12,JabRef,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
13,KBibTeX,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
14,Mendeley,Yes,Yes,Yes,Yes,9464 styles,CSL
15,Paperpile,Yes,Yes,Yes,Yes,9464 styles,CSL
16,Pybliographer,Yes,No,No,No,none,Pybliographer XML
17,Qiqqa,Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
18,ReadCube (now Papers),Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
19,refbase,Yes,Yes,Yes,Yes,various polar & marine journals,PHP
20,RefDB,Yes,Yes,Yes,Yes,21 biomedical & law journals,"XML (citestylex.dtd), interactive script"
21,Reference Manager,Yes,Yes,Yes,Yes,various,Reference Manager format (through GUI)
22,Referencer,?,?,?,?,?,?
23,RefWorks,Yes,Yes,Yes,Yes,"4256, plus CSL styles",RefWorks format (through GUI); CSL
24,SciRef,Yes,Yes,Yes,Yes,various,SciRef format (through GUI)
25,Sente,Yes,Yes,Yes,Yes,various,Sente format (through GUI)
26,Wikindx,Yes,Yes,Yes,Yes,"ABNT, APA, BMJ, Chicago, Harvard, IEEE, MLA, Turabian",Wikindx format (through GUI)
27,WizFolio,Yes,Yes,Yes,Yes,1000+ styles,WizFolio format (through GUI)
28,Zotero,Yes,Yes,Yes,Yes,9464 styles,CSL
