,Software,Passworded,Networking,Networking.1
0,Software,Passworded,User-specific permissions[43],Simultaneous write access
1,Bebop,No,,
2,BibBase,,,
3,BibDesk,Yes,No,No
4,Biblioscape,Yes,Yes,Yes
5,BibSonomy,Yes,Yes,Yes
6,Bibus,?,?,?
7,Bookends,?,?,?
8,Citavi,Yes[44],Yes,Yes
9,CiteULike,Yes,No,Yes
10,colwiz,Yes,Yes,Yes
11,EndNote,Yes,No[45],No[45]
12,F1000Workspace,Yes,Yes,Yes
13,JabRef,No,No,Partial
14,KBibTeX,No,,
15,Mendeley,Yes[46],Yes,Yes
16,Paperpile,Yes[47],Yes,Yes
17,Pybliographer,?,?,?
18,Qiqqa,Yes,Yes,Yes
19,ReadCube (now Papers),Yes,Yes,No
20,refbase,Yes,Yes,Yes
21,RefDB,Yes,Yes,Yes
22,Reference Manager,Yes,No,Yes
23,Referencer,?,?,?
24,RefWorks,Yes,?,Yes
25,Sente,Yes,Yes,Yes
26,Wikindx,Yes,Yes,Yes
27,WizFolio,Yes,Yes,Yes
28,Zotero,Yes[48],Yes,Yes
