,Name,Official website,Programming language,Software license,Used by
0,Boost.Regex[Note 1],Boost C++ Libraries,C++,Boost,"Notepad++ >= 6.0.0, EmEditor"
1,Boost.Xpressive,Boost C++ Libraries,C++,Boost,
2,CL-PPCRE,Edi Weitz,Common Lisp,BSD,
3,cppre,Jeff Stuart,C++,GPL,
4,DEELX,RegExLab,C++,Free personal and commercial use,
5,FREJ[Note 2],Fuzzy Regular Expressions for Java,Java,LGPL,
6,GLib/GRegex[Note 3],GLib reference manual,C,LGPL,
7,GRETA,Microsoft Research,C++,?,
8,Gregex,Grovf Inc.,"RTL, HLS",Proprietary,"FPGA accelerated >100Gbps regex engine for cybersecurity, financial, e-commerce industries."
9,Helios RXPF,Titan IC,RTL,Proprietary,hardware accelerated regex engine for cybersecurity OEMs
10,Hyperscan,Intel,"C, x86-specific assembly (SSSE3+[1])",3-clause BSD,Rspamd
11,ICU,International Components for Unicode,"C, C++[Note 4]",ICU,Foundation (Apple and Swift open-source versions)
12,Jakarta/Regexp,The Apache Jakarta Project,Java,Apache,
13,java.util.regex,Java's User manual,Java,GNU GPLv2 with Classpath exception,jEdit
14,JRegex,JRegex,Java,BSD,
15,MATLAB,Regular Expressions,MATLAB Language,"MATLAB, The Language of Technical Computing",
16,Oniguruma,Kosako,C,BSD,"Atom, Take Command Console, Tera Term, TextMate, Sublime Text, SubEthaEdit, EmEditor and jq"
17,Onigmo (Oniguruma-mod),Onigmo,C,BSD,Ruby
18,Pattwo,Stevesoft,Java (compatible with Java 1.0),LGPL,
19,PCRE,pcre.org,"C, C++[Note 5]",BSD,"Apache HTTP Server, Nginx, Julia, HHVM, Notepad++ < 6.0.0, PHP, Delphi, R"
20,Qt/QRegExp,Digia,C++,"Qt GNU GPL v. 3.0, Qt GNU LGPL v. 2.1, Qt Commercial","Kate, Kile"
21,regex - Henry Spencer's regular expression libraries,ArgList,C,BSD,
22,RE2,RE2,C++,BSD,"Go, Google Sheets, Gmail, G Suite"
23,Henry Spencer's Advanced Regular Expressions,Tcl,C,BSD,
24,RGX,RGX,C++ based component library,P6R,
25,SubReg,Matt Bucknall,C,MIT,
26,TPerlRegEx,TPerlRegEx VCL Component,Object Pascal,MPLv1.1,
27,TRE[Note 2],Ville Laurikari,C,BSD,
28,TRegExpr,RegExp Studio,Object Pascal,"Dual-license: freeware, or LGPL with static linking exception",Total Commander
29,XRegExp,XRegExp,JavaScript,MIT,
30,Wolfram Language (Mathematica),Wolfram Language Documentation Center,Wolfram Language,,"Mathematica, the Wolfram Development Platform"
