,Language,Official website,Software license,Remarks
0,ActionScript 3,ActionScript Technology Center,Free,
1,C++11 (C++),C++ standards website,Licensed by the respective implementation,"Since ISO14822:2011(e), similar to ECMAScript on default (Grammar Description)"
2,D,D,Boost Software License[Note 1],
3,Go,Golang.org,BSD-style,
4,Haskell,Haskell.org,BSD3,"Omitted in the language report, and in GHC's Hierarchical Libraries"
5,Java,Java,GNU General Public License,"REs are written as strings in source code: all backslashes must be doubled, harming readability."
6,JavaScript (ECMAScript),ECMA-262,BSD3,Limited but REs are first-class citizens of the language with a specific /.../mod syntax.
7,Julia,JuliaLang.org,MIT License,REs are part of the language core library using PCRE built-in and an optional wrapper for (C code) ICU is available.
8,Lua,Lua.org,MIT License,"Uses simplified, limited dialect; can be bound to more powerful library, like PCRE or an alternative parser like LPeg."
9,Mathematica,Wolfram,Proprietary,
10,.NET,MSDN,MIT License[Note 2][Note 3],
11,Nim,nim-lang.org,MIT License,"Standard library includes PCRE-based re and nre modules, as well as various alternatives (ex. strutils, pegs (Parsing Expression Grammar matching), strscans, parseutils, etc.)."
12,Free Pascal (Object Pascal),www.freepascal.org,LGPL with static linking exception,Free Pascal 2.6+ ships with TRegExpr from Sorokin and two other regular expression libraries; See wiki.lazarus.freepascal.org/Regexpr.
13,OCaml,Caml,LGPL,"As of 2010, the standard module is generally regarded as deprecated;[7] often recommended libraries are pcre (with full support for PCRE) and re (which is not as complete but claims better performance and provides frontends to popular syntaxes: PCRE, Perl, Posix, Emacs, shell globbing)."
14,Perl,Perl.com,"Artistic License, or GNU General Public License","Full, central part of the language"
15,PHP,PHP.net,PHP License,"Has two implementations, with PCRE being the more efficient in speed, functions"
16,POSIX C (C),libc/regex from BSD,BSD,"According to regex(3), available from at least 4.4BSD (if not earlier)"
17,Python,python.org,Python Software Foundation License,"Python has two major implementations, the built in re and the regex library."
18,Ruby,ruby-doc.org,GNU Library General Public License,"Ruby 1.8, Ruby 1.9, and Ruby 2.0 and later versions use different engines; Ruby 1.9 integrates Oniguruma, Ruby 2.0 and later integrate Onigmo, a fork from Oniguruma."
19,Rust,docs.rs,MIT License,The primary regex crate does not allow look-around expressions. There is an Oniguruma binding called onig that does.
20,SAP ABAP,SAP.com,Proprietary,
21,Tcl,tcl.tk,Tcl/Tk License(BSD-style),Tcl library doubles as a regular expression library.
22,Wolfram Language,Wolfram Research,Proprietary; usable for free on a limited scale on the Wolfram Development platform.,
23,XML Schema,W3C,implementation depend,
24,XPath 3/XQuery,W3C,implementation depend,
