,Unnamed: 0,Range,Hash,Composite (Range+Hash),List,Expression
0,4th Dimension,?,?,?,?,?
1,ADABAS,?,?,?,?,?
2,Adaptive Server Enterprise,Yes,Yes,No,Yes,?
3,Advantage Database Server,No,No,No,No,?
4,Altibase,Yes,Yes,No,Yes,?
5,Apache Derby,No,No,No,No,?
6,ClustrixDB,Yes,No,No,No,No
7,CUBRID,Yes,Yes,No,Yes,?
8,IBM DB2,Yes,Yes,Yes,Yes,Yes
9,Empress Embedded Database,No,No,No,No,?
10,EXASolution,No,Yes,No,No,No
11,Firebird,No,No,No,No,?
12,HSQLDB,No,No,No,No,?
13,H2,No,No,No,No,?
14,Informix Dynamic Server,Yes,Yes,Yes,Yes,Yes
15,Ingres,Yes,Yes,Yes,Yes,?
16,InterBase,No,No,No,No,?
17,Linter SQL RDBMS,No,No,No,No,No
18,MariaDB,Yes,Yes,Yes,Yes,?
19,MaxDB,No,No,No,No,?
20,Microsoft Access (JET),No,No,No,No,?
21,Microsoft Visual Foxpro,No,No,No,No,?
22,Microsoft SQL Server,Yes,via computed column,via computed column,Yes,via computed column
23,Microsoft SQL Server Compact (Embedded Database),No,No,No,No,?
24,Mimer SQL,No,No,No,No,No
25,MonetDB,No,No,No,No,No
26,MySQL,Yes,Yes,Yes,Yes,?
27,OpenBase SQL,?,?,?,?,?
28,Oracle,Yes,Yes,Yes,Yes,via Virtual Columns
29,Oracle Rdb,Yes,Yes,?,?,?
30,OpenLink Virtuoso,Yes,Yes,Yes,Yes,Yes
31,Pervasive PSQL,No,No,No,No,No
32,Polyhedra DBMS,No,No,No,No,No
33,PostgreSQL,Yes1,Yes1,Yes1,Yes1,Yes1
34,Raima Database Manager,Yes2,Yes2,Yes2,No,?
35,RDM Server,No,No,No,No,?
36,SAP HANA,Yes,Yes,Yes,Yes,Yes
37,solidDB,Yes,No,No,No,?
38,SQL Anywhere,No,No,No,No,?
39,SQLite,No,No,No,No,?
40,Teradata,Yes,Yes,Yes,Yes,?
41,UniVerse,Yes,Yes,Yes,Yes,?
42,,Range,Hash,Composite (Range+Hash),List,Expression
