,Unnamed: 0,Type system,Integer,Floating point,Decimal,String,Binary,Date/Time,Boolean,Other
0,4th Dimension,Static,"UUID (16-bit), SMALLINT (16-bit), INT (32-bit), BIGINT (64-bit), NUMERIC (64-bit)","REAL, FLOAT","REAL, FLOAT","CLOB, TEXT, VARCHAR","BIT, BIT VARYING, BLOB","DURATION, INTERVAL, TIMESTAMP",BOOLEAN,PICTURE
1,Altibase[134],Static,"SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","REAL (32-bit), DOUBLE (64-bit)","DECIMAL, NUMERIC, NUMBER, FLOAT","CHAR, VARCHAR, NCHAR, NVARCHAR, CLOB","BLOB, BYTE, NIBBLE, BIT, VARBIT",DATE,,GEOMETRY
2,ClustrixDB[135],Static,"TINYINT (8-bit), SMALLINT (16-bit), MEDIUMINT (24-bit), INT (32-bit), BIGINT (64-bit)","FLOAT (32-bit), DOUBLE",DECIMAL,"CHAR, BINARY, VARCHAR, VARBINARY, TEXT, TINYTEXT, MEDIUMTEXT, LONGTEXT","TINYBLOB, BLOB, MEDIUMBLOB, LONGBLOB","DATETIME, DATE, TIMESTAMP, YEAR","BIT(1), BOOLEAN","ENUM, SET,"
3,CUBRID[136],Static,"SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","FLOAT, REAL(32-bit), DOUBLE(64-bit)","DECIMAL, NUMERIC","CHAR, VARCHAR, NCHAR, NVARCHAR, CLOB",BLOB,"DATE, DATETIME, TIME, TIMESTAMP",BIT,"MONETARY, BIT VARYING, SET, MULTISET, SEQUENCE, ENUM"
4,DB2,?,"SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)","DECFLOAT, REAL, DOUBLE",DECIMAL,"CLOB, CHAR, VARCHAR","BINARY, VARBINARY, BLOB","DATE, TIME, TIMESTAMP WITH TIME ZONE, TIMESTAMP WITHOUT TIME ZONE",BOOLEAN,"XML, GRAPHIC, VARGRAPHIC, DBCLOB, ROWID"
5,Empress Embedded Database,Static,"TINYINT, SQL_TINYINT, or INTEGER8; SMALLINT, SQL_SMALLINT, or INTEGER16; INTEGER, INT, SQL_INTEGER, or INTEGER32; BIGINT, SQL_BIGINT, or INTEGER64","REAL, SQL_REAL, or FLOAT32; DOUBLE PRECISION, SQL_DOUBLE, or FLOAT64; FLOAT, or SQL_FLOAT; EFLOAT","DECIMAL, DEC, NUMERIC, SQL_DECIMAL, or SQL_NUMERIC; DOLLAR","CHARACTER, ECHARACTER, CHARACTER VARYING, NATIONAL CHARACTER, NATIONAL CHARACTER VARYING, NLSCHARACTER, CHARACTER LARGE OBJECT, TEXT, NATIONAL CHARACTER LARGE OBJECT, NLSTEXT",BINARY LARGE OBJECT or BLOB; BULK,"DATE, EDATE, TIME, ETIME, EPOCH_TIME, TIMESTAMP, MICROTIMESTAMP",BOOLEAN,"SEQUENCE 32, SEQUENCE"
6,EXASolution,Static,"TINYINT, SMALLINT, INTEGER, BIGINT,","REAL, FLOAT, DOUBLE","DECIMAL, DEC, NUMERIC, NUMBER","CHAR, NCHAR, VARCHAR, VARCHAR2, NVARCHAR, NVARCHAR2, CLOB, NCLOB",,"DATE, TIMESTAMP, INTERVAL","BOOLEAN, BOOL",GEOMETRY
7,FileMaker[137],Static,Not Supported,Not Supported,NUMBER,TEXT,CONTAINER,TIMESTAMP,Not Supported,
8,Firebird[138],?,"INT64, INTEGER, SMALLINT","DOUBLE, FLOAT","DECIMAL, NUMERIC, DECIMAL(18, 4), DECIMAL(10, 4)","BLOB, CHAR, CHAR(x) CHARACTER SET UNICODE_FSS, VARCHAR(x) CHARACTER SET UNICODE_FSS, VARCHAR","BLOB SUB_TYPE TEXT, BLOB","DATE, TIME, TIMESTAMP (without time zone)",BOOLEAN,"TIMESTAMP, CHAR(38), User defined types (Domains)"
9,,Type system,Integer,Floating point,Decimal,String,Binary,Date/Time,Boolean,Other
10,HSQLDB[139],Static,"TINYINT (8-bit), SMALLINT (16-bit), INTEGER (32-bit), BIGINT (64-bit)",DOUBLE (64-bit),"DECIMAL, NUMERIC","CHAR, VARCHAR, LONGVARCHAR, CLOB","BINARY, VARBINARY, LONGVARBINARY, BLOB","DATE, TIME, TIMESTAMP, INTERVAL",BOOLEAN,"OTHER (object), BIT, BIT VARYING, ARRAY"
