,Model(Codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Core,Core.1,Fillrate[a][b],Fillrate[a][b].1,Processing power[c](GFLOPS),Processing power[c](GFLOPS).1,Memory[d],Memory[d].1,Memory[d].2,Memory[d].3,TDP (Watts),TDP (Watts).1,Bus interface
0,Model(Codename),Release Date& Price,Architecture& Fab,Transistors& Die Size,Config[e],Clock (MHz),Texture(GT/s),Pixel(GP/s),Single,Double,Size (MB),Clock(MHz),Bus type& width,Bandwidth (GB/s),Idle,Max,Bus interface
1,Radeon HD 6350(Cedar),"April 7, 2011$23 USD",TeraScale 240 nm,292×10659 mm2,80:8:4,650,5.2,2.6,104,,512,800,DDR364-bit,12.8,6.4,19.1,PCIe 2.1 ×16
2,Radeon HD 6450(Caicos),"February 7, 2011OEM",TeraScale 240 nm,370×10667 mm2,160:8:4,625750,5.06.0,2.53.0,200240,,512,533800,DDR364-bit,8.512.8,9,1827,PCIe 2.1 ×16
3,Radeon HD 6450(Caicos),"April 7, 2011$55 USD",TeraScale 240 nm,370×10667 mm2,160:8:4,625750,5.06.0,2.53.0,200240,,51210242048,800900,DDR364-bit,12.814.4,9,1827,PCIe 2.1 ×16
4,Radeon HD 6570(Turks Pro),"February 7, 2011OEM",TeraScale 240 nm,716×106118 mm2,480:24:8,650,15.6,5.2,624,,1024,900,DDR3128-bit,28.8,10,44,PCIe 2.1 ×16
5,Radeon HD 6570(Turks Pro),"April 19, 2011$79 USD",TeraScale 240 nm,716×106118 mm2,480:24:8,650,15.6,5.2,624,,20484096,6671000,DDR3GDDR5128-bit,21.364,11,60,PCIe 2.1 ×16
6,Radeon HD 6670(Turks XT),"April 19, 2011$99 USD",TeraScale 240 nm,716×106118 mm2,480:24:8,800,19.2,6.4,768,,51210242048,8001000,DDR3GDDR5128-bit,25.664,12,66,PCIe 2.1 ×16
7,Radeon HD 6750(Juniper Pro),"January 21, 2011OEM",TeraScale 240 nm,1040×106166 mm2,720:36:16,700,25.2,11.2,1008,,5121024,1150,GDDR5128-bit,73.6,16,86,PCIe 2.1 ×16
8,Radeon HD 6770(Juniper XT),"April 19, 2011?",TeraScale 240 nm,1040×106166 mm2,800:40:16,850,34.0,13.6,1360,,5121024,12001050,GDDR5128-bit,76.867.2,18,108,PCIe 2.1 ×16
9,Radeon HD 6790(Barts LE),"April 4, 2011$149 USD",TeraScale 240 nm,1700×106255 mm2,800:40:16,840,33.6,13.4,1344,,1024,1050,GDDR5256-bit,134.4,19,150,PCIe 2.1 ×16
10,Radeon HD 6850(Barts Pro),"October 22, 2010$179 USD",TeraScale 240 nm,1700×106255 mm2,960:48:32,775,37.2,24.8,1488,,1024,1000,GDDR5256-bit,128,19,127,PCIe 2.1 ×16
11,Radeon HD 6870(Barts XT),"October 22, 2010$239 USD",TeraScale 240 nm,1700×106255 mm2,1120:56:32,900,50.4,28.8,2016,,10242048,1050,GDDR5256-bit,134.4,19,151,PCIe 2.1 ×16
12,Radeon HD 6930(Cayman CE),December 2011$180 USD,TeraScale 340 nm,2640×106389 mm2,1280:80:32,750,60.0,24.0,1920,480,10242048,1200,GDDR5256-bit,153.6,18,186,PCIe 2.1 ×16
13,Radeon HD 6950(Cayman Pro),"December 15, 2010$259 USD$299 USD",TeraScale 340 nm,2640×106389 mm2,1408:88:32,800,70.4,25.6,2253,563,10242048,12501250,GDDR5256-bit,160,20,200,PCIe 2.1 ×16
14,Radeon HD 6970(Cayman XT),"December 15, 2010$369 USD",TeraScale 340 nm,2640×106389 mm2,1536:96:32,880,84.5,28.2,2703,675,2048,1375,GDDR5256-bit,176,20,250,PCIe 2.1 ×16
15,Radeon HD 6990(Antilles XT),"March 8, 2011$699 USD",TeraScale 340 nm,2× 2640×106389 mm2,2× 1536:96:32,830,2×79.6,2×26.5,5099,1276.88,2×2048,1250,GDDR5256-bit,2×160,37,375,PCIe 2.1 ×16
16,2×,2640×106389 mm2,,,,,,,,,,,,,,,
