,Model(Codename),Launch,Architecture(Fab),Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Memory,Memory.1,Memory.2,Memory.3,TDP
0,Model(Codename),Launch,Architecture(Fab),Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Processing power[a][d](GFLOPS),Bus type& width,Size (GiB),Clock (MT/s),Band-width (GB/s),TDP
1,RadeonR5 M230(Jet Pro),January 2014,GCN 1st gen(28 nm),320:20:8:5,780855,3.4,17.1,547,DDR364-bit,24,1000,16,Unknown
2,RadeonR5 M255(Jet Pro),June 2014,GCN 1st gen(28 nm),320:20:8:5,925940,7.5,18.8,601,DDR364-bit,24,1000,16,Unknown
3,RadeonR7 M260(Topaz),June 2014,GCN 1st gen(28 nm),384:24:8:6,620980,5.77.8,17.223.5,549.1752.6,DDR364-bit,24,1000,3216,Unknown
4,RadeonR7 M260X(Opal),June 2014,GCN 1st gen(28 nm),384:24:8:6,620715,5.7,17.2,549,GDDR5128-bit,24,1000,64,Unknown
5,RadeonR7 M265(Opal XT),May 2014,GCN 1st gen(28 nm),384:24:8:6,725825,6.6,19.8,633.6,DDR364-bit,24,1000,1632,Unknown
6,RadeonR9 M265X(Venus Pro),May 2014,GCN 1st gen(28 nm),640:40:16:10,575625,10,25,800,GDDR5128-bit,24,1125,72,Unknown
7,RadeonR9 M270X(Venus XT),May 2014,GCN 1st gen(28 nm),640:40:16:10,725775,12.4,31,992,GDDR5128-bit,24,1125,72,Unknown
8,RadeonR9 M275X(Venus XTX),May 2014,GCN 1st gen(28 nm),640:40:16:10,900925,14.8,37,1184,GDDR5128-bit,24,1125,72,50 W
9,RadeonR9 M280X(Saturn XT),February 2015,GCN 2nd gen(28 nm),896:56:16:14,10001100,17.6,61.6,1792,GDDR5128-bit,24,1500,96,~75 W
10,RadeonR9 M290X(Neptune XT),May 2014,GCN 1st gen(28 nm),1280:80:32:20,850900,28.8,72,21762304,GDDR5256-bit,4,1200,153.6,100 W
11,RadeonR9 M295X(Amethyst XT),November 2014,GCN 3rd gen(28 nm),2048:128:32:32,750800,25.6,102.4,3276.8,GDDR5256-bit,4,1375,176,250 W
